State,State_Name,2015rate,Rank_15,2016rate,Rank_16,2017rate,Rank_17
ND,North Dakota,2.8,1.0,3.1,4.0,2.6,2.0
NE,Nebraska,3.0,2.0,3.1,4.0,2.9,5.0
SD,South Dakota,3.1,3.0,3.0,3.0,3.3,10.0
NH,New Hampshire,3.4,4.0,2.9,1.0,2.7,3.0
HI,Hawaii,3.6,5.0,2.9,1.0,2.4,1.0
UT,Utah,3.6,5.0,3.4,8.0,3.2,8.0
VT,Vermont,3.6,5.0,3.2,6.0,3.0,6.0
MN,Minnesota,3.7,8.0,3.9,12.0,3.5,13.0
IA,Iowa,3.8,9.0,3.6,9.0,3.1,7.0
CO,Colorado,3.9,10.0,3.3,7.0,2.8,4.0
ID,Idaho,4.2,11.0,3.8,10.0,3.2,8.0
KS,Kansas,4.2,11.0,4.0,15.0,3.6,15.0
MT,Montana,4.2,11.0,4.1,17.0,4.0,21.0
WY,Wyoming,4.3,14.0,5.3,37.0,4.2,24.0
ME,Maine,4.4,15.0,3.8,10.0,3.3,10.0
OK,Oklahoma,4.4,15.0,4.8,25.0,4.3,26.0
TX,Texas,4.4,15.0,4.6,22.0,4.3,26.0
VA,Virginia,4.5,18.0,4.1,17.0,3.8,19.0
WI,Wisconsin,4.5,18.0,4.0,15.0,3.3,10.0
IN,Indiana,4.8,20.0,4.4,19.0,3.5,13.0
MA,Massachusetts,4.8,20.0,3.9,12.0,3.7,16.0
DE,Delaware,4.9,22.0,4.5,21.0,4.6,31.0
OH,Ohio,4.9,22.0,5.0,29.0,5.0,43.0
AR,Arkansas,5.0,24.0,3.9,12.0,3.7,16.0
MO,Missouri,5.0,24.0,4.6,22.0,3.8,19.0
MD,Maryland,5.1,26.0,4.4,19.0,4.1,22.0
KY,Kentucky,5.3,27.0,5.1,33.0,4.9,40.0
NY,New York,5.3,27.0,4.8,25.0,4.7,35.0
PA,Pennsylvania,5.3,27.0,5.4,39.0,4.9,40.0
MI,Michigan,5.4,30.0,5.0,29.0,4.6,31.0
FL,Florida,5.5,31.0,4.8,25.0,4.2,24.0
OR,Oregon,5.6,32.0,4.8,25.0,4.1,22.0
TN,Tennessee,5.6,32.0,4.7,24.0,3.7,16.0
CT,Connecticut,5.7,34.0,5.1,33.0,4.7,35.0
NC,North Carolina,5.7,34.0,5.1,33.0,4.6,31.0
WA,Washington,5.7,34.0,5.3,37.0,4.8,38.0
NJ,New Jersey,5.8,37.0,5.0,29.0,4.6,31.0
GA,Georgia,6.0,38.0,5.4,39.0,4.7,35.0
IL,Illinois,6.0,38.0,5.8,44.0,5.0,43.0
RI,Rhode Island,6.0,38.0,5.2,36.0,4.5,30.0
SC,South Carolina,6.0,38.0,5.0,29.0,4.3,26.0
AL,Alabama,6.1,42.0,5.9,46.0,4.4,29.0
AZ,Arizona,6.1,42.0,5.4,39.0,4.9,40.0
CA,California,6.2,44.0,5.5,42.0,4.8,38.0
LA,Louisiana,6.3,45.0,6.0,47.0,5.1,46.0
MS,Mississippi,6.4,46.0,5.8,44.0,5.1,46.0
AK,Alaska,6.5,47.0,6.9,51.0,7.2,51.0
NM,New Mexico,6.5,47.0,6.7,50.0,6.2,50.0
WV,West Virginia,6.7,49.0,6.1,48.0,5.2,48.0
NV,Nevada,6.8,50.0,5.7,43.0,5.0,43.0
DC,District of Columbia,6.9,51.0,6.1,48.0,6.1,49.0
